0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
443,50058,6,9,0,37.62626612186432,37.62626612186432,99.16313055484045,99.16313055484045,0.0012099742889404297,0.0012099742889404297,299.9871108531952,299.9871108531952,0,0,201.44444444444446,0,256.9155118845757,0,66,0,898,0,1813,0,0,0,0,0,0,0,0
34325,53,17,2,0,0.0003478527069091797,0.0003478527069091797,0.0,0.0,0.0003478527069091797,0.0003478527069091797,0.0003478527069091797,0.0003478527069091797,0,0,74.0,0,0.0,0,74,0,74,0,148,0,0,0,0,0,0,0,0
53,34325,17,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,264.0,0,48.0,0,216,0,312,0,528,0,0,0,0,0,0,0,0
45881,443,17,527,0,0.10187852835927173,0.10187852835927173,0.6767056872472416,0.6767056872472416,0.0001049041748046875,0.0001049041748046875,10.112996101379395,10.112996101379395,0,0,354.47817836812146,0,435.92748186816016,0,71,0,1294,0,186810,0,0,0,0,0,0,0,0
443,45881,17,1497,0,0.035809305421808824,0.035809305421808824,0.3145240693550237,0.3145240693550237,0.0,0.0,6.755727052688599,6.755727052688599,0,0,960.3340013360054,0,511.42848982038004,0,67,0,1294,0,1437620,0,0,0,0,0,0,0,0
46112,53,17,2,0,0.0002651214599609375,0.0002651214599609375,0.0,0.0,0.0002651214599609375,0.0002651214599609375,0.0002651214599609375,0.0002651214599609375,0,0,71.0,0,0.0,0,71,0,71,0,142,0,0,0,0,0,0,0,0
53,46112,17,2,0,0.0027120113372802734,0.0027120113372802734,0.0,0.0,0.0027120113372802734,0.0027120113372802734,0.0027120113372802734,0.0027120113372802734,0,0,112.0,0,2.0,0,110,0,114,0,224,0,0,0,0,0,0,0,0
46524,53,17,2,0,0.001196146011352539,0.001196146011352539,0.0,0.0,0.001196146011352539,0.001196146011352539,0.001196146011352539,0.001196146011352539,0,0,73.0,0,0.0,0,73,0,73,0,146,0,0,0,0,0,0,0,0
44906,53,17,2,0,3.981590270996094e-05,3.981590270996094e-05,0.0,0.0,3.981590270996094e-05,3.981590270996094e-05,3.981590270996094e-05,3.981590270996094e-05,0,0,84.0,0,0.0,0,84,0,84,0,168,0,0,0,0,0,0,0,0
53,46524,17,2,0,0.0007791519165039062,0.0007791519165039062,0.0,0.0,0.0007791519165039062,0.0007791519165039062,0.0007791519165039062,0.0007791519165039062,0,0,95.5,0,22.5,0,73,0,118,0,191,0,0,0,0,0,0,0,0
53,44906,17,2,0,0.0005471706390380859,0.0005471706390380859,0.0,0.0,0.0005471706390380859,0.0005471706390380859,0.0005471706390380859,0.0005471706390380859,0,0,298.0,0,6.0,0,292,0,304,0,596,0,0,0,0,0,0,0,0
36106,80,6,17,0,7.215744495391846,7.215744495391846,4.518675611969327,4.518675611969327,0.0002579689025878906,0.0002579689025878906,10.246742010116577,10.246742010116577,0,0,84.70588235294117,0,72.84775801458042,0,66,0,376,0,1440,0,0,0,0,0,0,0,0
35069,53,17,2,0,0.0006549358367919922,0.0006549358367919922,0.0,0.0,0.0006549358367919922,0.0006549358367919922,0.0006549358367919922,0.0006549358367919922,0,0,104.0,0,0.0,0,104,0,104,0,208,0,0,0,0,0,0,0,0
80,36106,6,15,0,8.24333393573761,8.24333393573761,3.9002862761460757,3.9002862761460757,0.003643035888671875,0.003643035888671875,10.500636100769043,10.500636100769043,0,0,80.93333333333334,0,53.774178024607885,0,66,0,282,0,1214,0,0,0,0,0,0,0,0
53,35069,17,2,0,1.9073486328125e-06,1.9073486328125e-06,0.0,0.0,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0,0,294.0,0,24.0,0,270,0,318,0,588,0,0,0,0,0,0,0,0
